"Common Name","Scientific Name","Scientific Name_url","Entity Description","ESA Listing Date","Delisting Date","Delisting Reason","Foreign or Domestic","Lead Agency"
"Cuneate bidens","Bidens cuneata","https://ecos.fws.gov/ecp/species/8557","Wherever found","02-17-1984","02-06-1996","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Monito gecko","Sphaerodactylus micropithecus","https://ecos.fws.gov/ecp/species/2200","Wherever found","10-15-1982","11-04-2019","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Mckittrick pennyroyal","Hedeoma apiculatum","https://ecos.fws.gov/ecp/species/1270","Wherever found","07-13-1982","09-22-1993","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Domestic","FWS"
"Robbins' cinquefoil","Potentilla robbinsiana","https://ecos.fws.gov/ecp/species/1844","Wherever found","09-17-1980","08-27-2002","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"San Marcos gambusia","Gambusia georgei","https://ecos.fws.gov/ecp/species/7519","Wherever found","07-14-1980","11-16-2023","Species is extinct","Domestic","FWS"
"Borax Lake chub","Gila boraxobius","https://ecos.fws.gov/ecp/species/6209","Wherever found","05-28-1980","07-13-2020","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Amistad gambusia","Gambusia amistadensis","https://ecos.fws.gov/ecp/species/8495","Wherever found","04-30-1980","12-04-1987","Species is extinct","Domestic","FWS"
"Spineless hedgehog Cactus","Echinocereus triglochidiatus var. inermis","https://ecos.fws.gov/ecp/species/6448","","12-07-1979","09-22-1993","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Truckee Barberry","Berberis (=Mahonia) sonnei","https://ecos.fws.gov/ecp/species/4705","","12-06-1979","10-01-2003","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Lloyd's hedgehog cactus","Echinocereus lloydii","https://ecos.fws.gov/ecp/species/1701","","11-28-1979","06-24-1999","The listed entity does not meet the statutory definition of a species","Both Domestic and Foreign","FWS"
"Purple-spined Hedgehog cactus","Echinocereus engelmannii var. purpureus","https://ecos.fws.gov/ecp/species/6423","","10-11-1979","11-27-1989","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Tennessee purple coneflower","Echinacea tennesseensis","https://ecos.fws.gov/ecp/species/6850","Wherever found","07-05-1979","09-02-2011","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Caribbean monk seal","Monachus tropicalis","https://ecos.fws.gov/ecp/species/8360","Wherever found","04-10-1979","10-28-2008","Species is extinct","Both Domestic and Foreign","NMFS"
"Eureka Valley evening-primrose","Oenothera avita ssp. eurekensis","https://ecos.fws.gov/ecp/species/122","","05-27-1978","03-29-2018","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Rydberg milk-vetch","Astragalus perianus","https://ecos.fws.gov/ecp/species/7138","","05-27-1978","09-14-1989","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Domestic","FWS"
"Gray wolf","Canis lupus","https://ecos.fws.gov/ecp/species/4488","Northern Rocky Mountain Distinct Population Segment: Montana, Idaho, Wyoming, eastern Washington, eastern Oregon, and north central Utah","03-09-1978","05-01-2017","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Pine barrens treefrog","Hyla andersonii","https://ecos.fws.gov/ecp/species/4506","Florida","12-18-1977","11-22-1983","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Domestic","FWS"
"Mariana mallard","Anas oustaleti","https://ecos.fws.gov/ecp/species/7616","Wherever found","12-08-1977","02-23-2004","Species is extinct","Domestic","FWS"
"San Clemente sage sparrow","Amphispiza belli clementeae","https://ecos.fws.gov/ecp/species/6588","Wherever found","09-12-1977","01-25-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"San Clemente Island lotus (=broom)","Acmispon dendroideus var. traskiae","https://ecos.fws.gov/ecp/species/1891","Wherever found","09-12-1977","01-25-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"San Clemente Island larkspur","Delphinium variegatum ssp. kinkiense","https://ecos.fws.gov/ecp/species/4274","Wherever found","09-12-1977","01-25-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"San Clemente Island bush-mallow","Malacothamnus clementinus","https://ecos.fws.gov/ecp/species/6714","Wherever found","09-12-1977","01-25-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
